"-", "Fri Jun 05 11:45:14 PDT 2009", "tom_stamm", "Cload Cover and Drizzle this morning obscure the Venus Greatest Western Elongation in Los Angeles "
"-", "Fri Jun 05 11:46:45 PDT 2009", "Candan76", "At Bellevue square shopping with mom. She's leaving next Monday "
"-", "Fri Jun 05 11:47:40 PDT 2009", "sennydreadful", "@ghostfinder Yeah, it's all about the cash  As if the film wasn't a bad enough stain on the memory, now highly paid fanfiction"
"-", "Fri Jun 05 11:50:52 PDT 2009", "Db1ge", "@cibacanka I am not!  I think you should enjoy your time here! You don't even have the money to go because i stole everything from you!"
"-", "Fri Jun 05 11:51:03 PDT 2009", "Hannahble713", "Campus dayyy. He's not here though. "
"-", "Fri Jun 05 11:51:10 PDT 2009", "jaytothedee24", "is off. Now to go home and watch Knick work. "
"-", "Fri Jun 05 12:06:06 PDT 2009", "aral", "Here's the captcha on @safaribooks's mobile site:  http://yfrog.com/0j26217317p  This sucks big time. "
"-", "Fri Jun 05 12:06:06 PDT 2009", "hjsummers", "Is fed up with being poor "
"-", "Fri Jun 05 12:06:15 PDT 2009", "MsCFLY", "I hate this rain "
"-", "Fri Jun 05 12:07:14 PDT 2009", "miahernandes", "I miss yenny "
"-", "Fri Jun 05 12:17:38 PDT 2009", "E_Nicole", "I'm sad can't go to the Winery today w/ the girls  .....I guess I'll make up by going shopping(lol)"
"-", "Fri Jun 05 12:17:44 PDT 2009", "KCBOOKS", "I am exhausted from keeping up with kids all day, and my voice is shot. Yes I can yell louder that 12 classrooms, but now I pay "
"-", "Fri Jun 05 12:18:16 PDT 2009", "ShaneathaDashai", "R.I.P. brother Benjamin Wilkes Jr. We love you and we will miss you. "
"-", "Fri Jun 05 12:19:53 PDT 2009", "timehhh", "o noes, my housemate took the wine out of the fridge to make room for stupid vegetables! booze FAIL "
"-", "Fri Jun 05 12:53:34 PDT 2009", "kerri_t", "I've wasted a quarter tank of gas already "
"-", "Fri Jun 05 12:56:35 PDT 2009", "linnetwoods", "@RugbyJones Oh no! I don't believe it! This is a nightmare! Let me check it out and get back to you "
"-", "Fri Jun 05 12:56:41 PDT 2009", "getshauky", "Mariyam Peyton -&gt;  Being Shauky:  im missing u guys .. kisses to lana nd aiz. hope evri ones gud. lov frm mom nd koky- Miss u too baby sis"
"-", "Fri Jun 05 13:01:41 PDT 2009", "myssloud", "Just painted nails and then got ruin "
"-", "Fri Jun 05 13:21:42 PDT 2009", "BlissTheGreat", "I'm tryna stay focused on the ultimate goal here...ima need a lot of support. Goin from boyish to girlish is a big change. "
"-", "Fri Jun 05 13:23:14 PDT 2009", "niteowl07", "is sick today... "
"-", "Fri Jun 05 13:28:26 PDT 2009", "eneni", "@SunShineStuvS goin bak 2 skul 2moro. Holiday is ova  Havin mixed filns as usual"
"-", "Fri Jun 05 13:32:11 PDT 2009", "pappe_it_is", "feeling nostalgic.. wrote this poem while i was leaving college http://bit.ly/NAHYn  "
"-", "Fri Jun 05 13:39:12 PDT 2009", "chinesepeanut", "missed eastenders !!  going to watch now on iplayer"
"-", "Fri Jun 05 13:40:14 PDT 2009", "zhoosteen", "Not supposed to be this close!!!!  traffic got me stuck right next to the tracks ahhhhhhh http://mypict.me/2IkL"
"-", "Fri Jun 05 13:40:24 PDT 2009", "NatalieGolding", "@KChenoweth i've had that before - it's the worst ever. all you want to do it hide away until it goes.  hope you feel better soon &lt;3 x"
"-", "Fri Jun 05 13:44:08 PDT 2009", "heyxtherexerika", "@maggiebriteside I will. I had to give stephen back his camera  poo-head. but, I left the cute pictures of me &amp; my boo on there. &amp; the one"
"-", "Fri Jun 05 13:46:43 PDT 2009", "krystalyng", "My brother is graduating from H.S. today!! Yay!! ... This means I'm getting old.  Boo! "
"-", "Fri Jun 05 13:50:23 PDT 2009", "gfagan72", "Sucks I have to be so sick on a Friday!!  "
"-", "Fri Jun 05 13:52:56 PDT 2009", "Geeksy", "@s3frik heres the deal:  lo conecte, lo prendi y se escucha como prende pero all of a sudden no se ve   WHHYYYY????"
"-", "Fri Jun 05 13:54:24 PDT 2009", "HFEM", "my stomach has been acting funny  this is not good for this weekend."
"-", "Fri Jun 05 13:56:35 PDT 2009", "Andywaine", "@Kata159 ahh i suppose.  ahh well, it keeps me entertainedd! haha! i can keep dreaming hah!"
"-", "Fri Jun 05 13:58:55 PDT 2009", "adywhisper", "Cory Reidiou murio "
"-", "Fri Jun 05 13:59:50 PDT 2009", "RGHall", "Going for a nap then watching Jays game.  They're gonna get killed tonight by Greinke   Might play a Step 6 after."
"-", "Fri Jun 05 14:08:50 PDT 2009", "corner14", "wanna be outside more than anything! but no one wants to be outside with me "
"-", "Fri Jun 05 14:12:46 PDT 2009", "NATALI3FALL0N", "@J0RDANP ahh dnt shout at meeeeeeeee :'( sowwii  wuu2? x"
"-", "Fri Jun 05 14:21:04 PDT 2009", "BostonPRchic", "@YoungQ oops bad spelling.. I'm on my iPhone "
"-", "Fri Jun 05 14:21:14 PDT 2009", "jonaswestwick", "am really cold    just watched the live chat from last nite, haha it was amazing!  julie bullies cows :O haha, am away noo bye&lt;3 xx"
"-", "Fri Jun 05 14:21:15 PDT 2009", "__missb", "it's raining  no excuses not to be at the library studying then..."
"-", "Fri Jun 05 14:22:13 PDT 2009", "UncleJago", "@tommy_toast we might have been even closer after we walked everywhere in search of shelter "
"-", "Fri Jun 05 14:26:38 PDT 2009", "Karina_Escobar", "@vetty_27 Yes That was a cute custom LOLz God I miss that boy "
"-", "Fri Jun 05 14:28:19 PDT 2009", "strawberrychelz", "wants winter to end already!!! "
"-", "Fri Jun 05 14:30:09 PDT 2009", "Epic_Disaster", "off to the dentist, root canal time "
"-", "Fri Jun 05 14:30:20 PDT 2009", "arobz", "@ItsChelseaStaub I WISH I WAS!! I LIVE IN FLORIDA THOUGH  AND THERE WAS NO DC GAMES THIS YEAR, BUMER I &lt;3 yall THOUGH!"
"-", "Fri Jun 05 14:33:10 PDT 2009", "Megita85", "Cannot believe Celestino's ex won't let him speak to his hijos now!  One thing after another it seems."
"-", "Fri Jun 05 14:36:11 PDT 2009", "verbully", "ps. i hate when it rains. i get all hot and muggy like  also i hate that it causes my car to fog up. STOP IT RAIN!"
"-", "Fri Jun 05 14:38:22 PDT 2009", "NikkiB123", "My Lilly Blade isn't on Messenger! How am I supposed to make it through the last half hour of work aww awone? Huh? "
"-", "Fri Jun 05 14:41:20 PDT 2009", "PaulDale67", "@laurarose15 oh dear what have you done? "
"-", "Fri Jun 05 14:45:24 PDT 2009", "paruss", "Fuck microsoft and their piece of shit xbox! "
"-", "Fri Jun 05 14:46:33 PDT 2009", "mzchrome18", "@MarioSoulTruth IM SORRI  I HOPE EVERY THING GETS BETTA!!!"
"-", "Fri Jun 05 14:52:44 PDT 2009", "aguilbert", "Got so burnt at the pool today.  Didn't apply my sunscreen right and now I'm spotted. Spontaneous garage sale tomorrow. Hope I make $!!"
"-", "Fri Jun 05 14:52:47 PDT 2009", "carryfiasco", "@amsical i think she's doing her own world tour isn't she, so i'm not sure she'll be there for november. "
"-", "Fri Jun 05 14:53:02 PDT 2009", "beingmyself", "@mr_gl ok ok!!! no more recession chicken I sowwy "
"-", "Fri Jun 05 14:55:16 PDT 2009", "Nanu_oh", "I'm cold  Nothing better than a hot coffee and watch movies!"
"-", "Fri Jun 05 14:56:48 PDT 2009", "darlingdede", "@ShawneyJ Aww get well soon, Shawn! "
"-", "Fri Jun 05 15:04:17 PDT 2009", "alexaherrera", "@glasswentsmash im sad  mcfly is not coming to peru :/"
"-", "Fri Jun 05 15:05:01 PDT 2009", "MJazminsays", "@nicolesaid What happen?  I love you bestie "
"-", "Fri Jun 05 15:06:27 PDT 2009", "VeraCastillo", "@JM713 Hot... Its hot outisde. "
"-", "Fri Jun 05 15:15:15 PDT 2009", "diet_lard", "@ahappyperiod @inmypinkpanties but he was serious  he insulted mah music &amp; i kinda got mad....BBOOO! I is sad now..."
"-", "Fri Jun 05 15:17:15 PDT 2009", "DawnMJ804", "I'm doing nothing and because of that I'm sleepy! well of course the rain and gray skies don't help either.  #fb"
"-", "Fri Jun 05 15:23:34 PDT 2009", "LevnUMesmerized", "@MyLoveIsAmazing Awwww.. So u know my pain??   ::tears::"
"-", "Fri Jun 05 15:24:51 PDT 2009", "witchyangel11", "Thanks to @1twistedmind &amp; @CorbSilverthorn for #FF mention. Not getting what it means though "
"-", "Fri Jun 05 15:26:44 PDT 2009", "kikabkika", "i lost my phone 2 hours a go, and already don't know how to go threw the rest of my day "
"-", "Fri Jun 05 15:34:47 PDT 2009", "hermorrine", "@TeachJoanne Why you gotta hate on my avi and sig?  "
"-", "Fri Jun 05 15:34:58 PDT 2009", "BitterChris", "Fucking Cacti is driving me bananas. Why can't this use nice config scripts like Nagios. XML+GUI is frustrating and painful. "
"-", "Fri Jun 05 15:35:18 PDT 2009", "jayleen_", "Trying to keep the stress level down and not doing a very good job. "
"-", "Fri Jun 05 15:37:16 PDT 2009", "Brookabus", "I hope everybody has fun at Riverbend tonight watching Jake Owen &amp; Willie Nelson! I wish I could go but I have to work "
"-", "Fri Jun 05 15:39:12 PDT 2009", "DREAMMGRL", "What a game! Hotty toddy! Now back to studying my life away... "
"-", "Fri Jun 05 15:43:04 PDT 2009", "Curly_Wurlies", "@MarkAllTimeLow awh no  its going good except for havin eng 2moro my heads filled me shit frm poetry to macbeth. gayness. x"
"-", "Fri Jun 05 15:48:42 PDT 2009", "EarthToHeather", "My Southern Sunset Sugar Cherie Ann Douglas left me a year ago. And I still miss that dog's fuzzy butt just as much as I did then "
"-", "Fri Jun 05 15:53:03 PDT 2009", "TukangRoti", "going hiking with the kids today. Curious to know if Ruben will enjoy today as he doesn't like outside activities. No tweets for today "
"-", "Fri Jun 05 15:57:45 PDT 2009", "UltimateCupcake", "It is a couple of minutes before we close, and we only have 2 Lemon Poppy Ultimate Cupcakes left! "
"-", "Fri Jun 05 15:58:02 PDT 2009", "sajeevcr", "Sorely miss the JavaPavalion. It is already closed.  #javaone"
"-", "Fri Jun 05 15:59:11 PDT 2009", "renguerra", "Just back to home... Monterrey is a crazy HOT bitch "
"-", "Fri Jun 05 15:59:57 PDT 2009", "Whitlovesgreys", "Pretty sure I  failed my civics and economics eoc final today "
"-", "Fri Jun 05 16:08:15 PDT 2009", "jonnyworld", "Slip slap dosh - no-one wants to play Fives "
"-", "Fri Jun 05 16:14:26 PDT 2009", "AlanaPotter", "@dmerwrock  its not working for me.... "
"-", "Fri Jun 05 16:15:27 PDT 2009", "DanielDevlin", "So the cancer was eating my uncle at such a rapid pace!  I'm glad that his suffering over! RIP Big Money aka Uncle Paul aka Hulk! "
"-", "Fri Jun 05 16:19:34 PDT 2009", "LuluRainyday", "And now He is in my house lurking in the corners... "
"-", "Fri Jun 05 16:20:37 PDT 2009", "shoutycat", "Waited in line for ten effing minutes at the Food Bank BBQ today, only to be told (super rudely) that they didn't have any veggie burgers "
"-", "Fri Jun 05 16:22:16 PDT 2009", "cecesusie", "@oaklandalex  i'll try to make you feel better &lt;3"
"-", "Fri Jun 05 16:22:20 PDT 2009", "TheFancyLamb", "OK, it felt good to get my Twitter dose for the day. Now it's back to resting. Flu = Yuck. "
"-", "Fri Jun 05 16:23:15 PDT 2009", "harleymariebby", "i hateee cleaning  esp. when people say that i havent done anything"
"-", "Fri Jun 05 16:23:36 PDT 2009", "dajream", "Somebody pass me the fucking shoe polish !!!! *deep sigh* "
"-", "Fri Jun 05 16:26:23 PDT 2009", "Timmysimmy", "Leavin NYC tomorrow for 30 days "
"-", "Fri Jun 05 16:27:21 PDT 2009", "FoxWhisperer", "@jetcaptain oh no!!!  I'm sorry if it is. I hope they were able to put it out quickly."
"-", "Fri Jun 05 16:32:31 PDT 2009", "PrincessLola", "My house is fuckin cold...shitty ass weather "
"-", "Fri Jun 05 16:32:42 PDT 2009", "PRAYERWARRIORMA", "misses my Boyfriend "
"-", "Fri Jun 05 16:40:12 PDT 2009", "mlhoofer", "- went to the library &amp; checked out no books for me.    Guess I'll chip away at the Mt. Everest-sized stack next to my bed.  ;)"
"-", "Fri Jun 05 16:42:03 PDT 2009", "Renee_9", "@DonnieWahlberg AWW I WISH I WAS THERE "
"-", "Fri Jun 05 16:45:59 PDT 2009", "kat_n", "@mymonkeydancer dont! iv got no ice cream.no chocolate.. i need something!!   lol. xx"
"-", "Fri Jun 05 16:50:03 PDT 2009", "KingEstate", "@Rosemont_Farm use your powers of persuasion to make them get it   Sorry for the inconvenience. "
"-", "Fri Jun 05 16:58:44 PDT 2009", "jodeeluv", "Because im in san diego and they are in brawley "
"-", "Fri Jun 05 17:02:08 PDT 2009", "lost_dog", "@sorenf I am lost. Please help me find a good home. "
"-", "Fri Jun 05 17:04:22 PDT 2009", "sezairi", "is queing for idol. shhhh don't tell anyone "
"-", "Fri Jun 05 17:05:03 PDT 2009", "Andjelija", "@jollybenjabi Can I have your autograph? &lt;-- WHY would u do that @jules_88? His head is gonna be HUGE now ... aww mahn geez tsk "
"-", "Fri Jun 05 17:14:02 PDT 2009", "jmorrillpda", "i hate finals "
"-", "Fri Jun 05 17:14:44 PDT 2009", "hectormiller", "@EmilyyBrowningg have fun!!oh...ur not gonna be on much right???Im gonna b alone   HAVE GREAT FUN!u earned it!!i mean..UNINVITED!!=p"
"-", "Fri Jun 05 17:15:21 PDT 2009", "jackis1974", "Well Im home now - They cancelled the jazz festival because of the rain. First time ever they had to cancel a day    "
"-", "Fri Jun 05 17:15:35 PDT 2009", "sup_emily", " not this lame one"
"-", "Fri Jun 05 17:15:55 PDT 2009", "angiebeyince", "@modamouth I know right   I cant even go out side especially in this rain. Im ready to pull my ice chest on wheels back out!"
"-", "Fri Jun 05 17:25:32 PDT 2009", "AbucadA", "@incubrat is snoring at 7:24 on a Friday. "
"-", "Fri Jun 05 17:27:34 PDT 2009", "lazer60000", "dang it,i coldent find one that worked "
"-", "Fri Jun 05 17:29:05 PDT 2009", "lores07", "home sick  uggg....headache!!"
"-", "Fri Jun 05 17:34:19 PDT 2009", "Sonadora", "Signing off...the internet is not working well on the bus "
"-", "Fri Jun 05 17:34:52 PDT 2009", "jthindman", "Studying again "
"-", "Fri Jun 05 17:39:02 PDT 2009", "StephLT75", "Worked all day then had supper with my handsome boy.  Now just not having the greatest of nights "
"-", "Fri Jun 05 17:43:42 PDT 2009", "runpdx", "Great @Ironman_Tim was instructed to go to urgent care; yet he sits and says he'll do it tomorrow. "
"-", "Fri Jun 05 17:50:17 PDT 2009", "TheGreatPoobarr", "Want a new shirt too, but I doubt I'll find one in the time I've got.  Wish I'd bothered having my vintage suit altered."
"-", "Fri Jun 05 17:50:55 PDT 2009", "PoonamNathu", "Studying for finals now "
"-", "Fri Jun 05 17:51:34 PDT 2009", "ReginaHigh", "Payday is next Friday?... That's not good. "
"-", "Fri Jun 05 17:55:36 PDT 2009", "crisrisl", "We just hit a bunny  #fb"
"-", "Fri Jun 05 18:04:37 PDT 2009", "kylmock", "feels bad that jess and taylor couldnt drink at the party "
"-", "Fri Jun 05 18:05:02 PDT 2009", "dangerbove", "aand the lack of responses just makes me realize how friendless in new york i am "
"-", "Fri Jun 05 18:05:04 PDT 2009", "scissorhandvamp", "@FTSKBrittanyy im gonna sign up i think. haha. yeah, i posted a few pretty quickly together, because i was on a roll. but no more "
"-", "Fri Jun 05 18:05:20 PDT 2009", "guitarheroes92", "I lost the game! "
"-", "Fri Jun 05 18:06:04 PDT 2009", "DemiSel4ee", "@selenagomez listen to your best friends demii and taylor, they'll know how advise you and sure better than me  bye cousin&lt;3"
"-", "Fri Jun 05 18:06:47 PDT 2009", "azwebcat", "K... now we're sitting, waiting... still waiting for the weekend "
"-", "Fri Jun 05 18:07:15 PDT 2009", "DUANJAVID", "@jaredfierce i didn't lose it! it's broken RIP "
"-", "Fri Jun 05 18:08:29 PDT 2009", "twibirdy", "@mszjoycii thatas really sux!!!!! "
"-", "Fri Jun 05 18:11:16 PDT 2009", "shelbaayy", "goodbye delicious cherry dr pepper.  well time for a sunkist!.....tomorrow shelby, tomorrow. --- hahah wow i'm lame."
"-", "Fri Jun 05 18:14:00 PDT 2009", "CaylenElizabeth", "Took me 2 hours to put the kids im watchin to bed  Caylen "
"-", "Fri Jun 05 18:17:03 PDT 2009", "rqlblk", "ew... its windy&amp;sandy&amp;dusty... w/ no rain "
"-", "Fri Jun 05 18:17:56 PDT 2009", "titothehappy", "@heartsandclefs "
"-", "Fri Jun 05 18:19:29 PDT 2009", "joulieb", "Apparently Mother Nature OH my bonfire excitement &amp; decided to give me a big FU by sending storm clouds our way. Bar it is. "
"-", "Fri Jun 05 18:19:40 PDT 2009", "cntrybumkn", "@spankmytweet:I would have toasted with ya'll if I was there "
"-", "Fri Jun 05 18:20:03 PDT 2009", "VictoriaBlacc", " I'm the only one missing it smh."
"-", "Fri Jun 05 18:20:45 PDT 2009", "hmglass", "Wow. Everything on my plate is covered in pepper...  Even the bbq sauce is 'black pepper sauce'."
"-", "Fri Jun 05 18:23:25 PDT 2009", "carlydziedzic", "I need my license. "
"-", "Fri Jun 05 18:32:39 PDT 2009", "Lexi1098", "My stomach hurts  no more food...."
"-", "Fri Jun 05 18:33:24 PDT 2009", "Tanya1224", "Brice's B-day party is tomorrow. I've been busy planning. We then have an open house Sunday. Lots of cleaning will have to be done "
"-", "Fri Jun 05 18:34:10 PDT 2009", "Lovesong1311", "Is dissappointed that I cant spent the night @ Shis' "
"-", "Fri Jun 05 18:34:51 PDT 2009", "JoJoLove21", "@4BiddenPlastic Awwwww.... I Effing Love That Movie... Why U Watching It Alone "
"-", "Fri Jun 05 18:37:57 PDT 2009", "TwiStedCoVerGrl", "@Kdedeaux lmao...I'll be with her on Sunday...Its gna be a fun ride. I couldnt get the rest of the stupid weekend off sadly!  I may go"
"-", "Fri Jun 05 18:43:02 PDT 2009", "cabri", "Oh, boo.  Oh, well, great pitching by both Santana and Verlander tonight. We will not mention Rodney."
"-", "Fri Jun 05 18:45:33 PDT 2009", "kelsey2716", "sunburnt  but fun day!"
"-", "Fri Jun 05 18:45:42 PDT 2009", "winterkim", "im a little bit bored right now "
"-", "Fri Jun 05 18:49:05 PDT 2009", "kaitlinurka", "Just found out my family lost another franchise. GM is taking Cadillac away  this is the definition of an EPIC FAIL"
